home_pos,home_value,home_score_form,home_concede_form,away_pos,away_value,away_score_form,away_concede_form,home_result_score,away_result_score
12,1350,1.3333333333333333,5,7,1414,4,3,1,1
10,1271,1.6666666666666667,7,18,1254,2,3,2,0
14,1228,2.0,6,1,1473,8,2,0,4
1,1350,1.3333333333333333,5,17,1337,5,13,2,0
2,1451,3.6666666666666665,5,4,1335,4,4,3,0
8,1324,1.3333333333333333,4,19,1333,5,6,2,2
9,1310,1.3333333333333333,2,16,1285,2,3,2,2
19,1287,0.6666666666666666,2,10,1277,5,4,4,0
12,1222,1.6666666666666667,5,14,1308,3,2,3,2
5,1432,2.0,4,2,1461,6,3,2,0
5,1457,1.6666666666666667,3,13,1294,4,3,2,2
19,1261,1.3333333333333333,7,3,1455,10,3,2,2
16,1292,1.0,7,6,1406,4,4,1,1
3,1410,3.0,3,9,1303,3,4,0,1
18,1242,1.0,9,20,1296,2,3,0,0
11,1271,1.3333333333333333,9,9,1317,5,4,1,3
13,1337,1.0,7,7,1335,8,4,2,1
1,1471,1.3333333333333333,5,14,1330,7,9,5,0
12,1303,1.0,5,18,1287,3,8,2,0
12,1336,1.3333333333333333,10,10,1277,5,7,3,2
12,1317,1.3333333333333333,7,5,1449,7,6,1,1
6,1403,1.3333333333333333,3,2,1491,6,3,2,1
6,1338,2.6666666666666665,7,7,1395,9,5,1,0
9,1315,0.6666666666666666,4,19,1259,5,8,2,1
20,1279,0.3333333333333333,3,3,1414,7,5,1,2
1,1432,2.6666666666666665,5,13,1240,5,4,2,1
10,1374,1.6666666666666667,1,14,1286,4,7,1,1
3,1427,3.6666666666666665,2,15,1261,3,4,3,1
7,1403,1.3333333333333333,2,4,1455,10,7,1,1
4,1360,2.3333333333333335,4,16,1332,5,5,6,2
19,1262,1.0,7,16,1317,3,4,2,2
10,1363,1.6666666666666667,2,11,1312,2,5,1,1
1,1483,2.0,4,4,1459,13,3,2,0
16,1284,1.6666666666666667,9,20,1278,2,6,0,1
17,1246,0.6666666666666666,11,11,1317,4,5,2,1
9,1277,1.0,10,15,1257,2,3,2,1
12,1173,2.0,4,3,1419,6,6,2,2
1,1445,3.0,4,6,1342,10,6,2,2
5,1434,2.6666666666666665,6,18,1241,2,4,3,1
